time,accX,accY,accZ,gyroX,gyroY,gyroZ,magx,magy,magz
1.45,-0.867,-0.472,-0.099,2.625,-2.502,3.296,0,0,0
1.46,-0.864,-0.48,-0.099,3.235,-1.709,2.808,0,0,0
1.47,-0.856,-0.481,-0.096,3.357,-1.831,2.197,0,0,0
1.48,-0.855,-0.481,-0.092,2.93,-2.258,2.014,0,0,0
1.49,-0.864,-0.488,-0.098,2.747,-2.686,1.831,0,0,0
1.5,-0.863,-0.493,-0.101,2.563,-2.319,2.197,0,0,0
1.51,-0.86,-0.485,-0.096,2.014,-2.686,2.93,0,0,0
1.52,-0.856,-0.474,-0.102,1.77,-2.869,3.906,0,0,0
1.53,-0.86,-0.476,-0.1,2.869,-2.563,4.578,0,0,0
1.54,-0.863,-0.48,-0.103,3.235,-2.197,5.005,0,0,0
1.55,-0.858,-0.479,-0.101,3.662,-1.831,4.7,0,0,0
1.56,-0.864,-0.489,-0.1,4.333,-1.587,4.211,0,0,0
1.57,-0.858,-0.491,-0.096,4.7,-1.404,3.601,0,0,0
1.58,-0.863,-0.498,-0.099,5.188,-1.404,3.174,0,0,0
1.59,-0.856,-0.5,-0.096,4.456,-1.16,2.502,0,0,0
1.6,-0.85,-0.502,-0.095,4.272,-1.77,2.686,0,0,0
1.61,-0.853,-0.509,-0.092,3.906,-1.953,2.563,0,0,0
1.62,-0.853,-0.504,-0.092,3.296,-2.258,2.441,0,0,0
1.63,-0.861,-0.508,-0.095,2.441,-3.174,1.648,0,0,0
1.64,-0.858,-0.501,-0.094,1.892,-2.625,0.854,0,0,0
1.65,-0.85,-0.5,-0.092,2.136,-2.93,0.671,0,0,0
1.66,-0.851,-0.49,-0.091,1.526,-3.357,0.244,0,0,0
1.67,-0.848,-0.483,-0.093,1.343,-3.906,0,0,0,0
1.68,-0.849,-0.486,-0.093,1.648,-3.845,0.854,0,0,0
1.69,-0.852,-0.487,-0.092,1.343,-4.15,2.075,0,0,0
1.7,-0.855,-0.487,-0.09,0.427,-3.906,2.869,0,0,0
1.71,-0.863,-0.488,-0.095,0.244,-3.54,4.089,0,0,0
